,charge,status,race_distribution_dict
10,11352,convicted,"{'Hispanic': 288, 'Black or African American': 131, 'White': 33, 'Unknown/Other': 6, '': 3, 'Filipino': 3, 'Chinese': 2, 'Japanese': 1, 'Pacific Islander': 1, 'Vietnamese': 1, 'Other Asian': 1, 'Korean': 1}"
11,11352,1385 PC - Guilty Plea to Other Charge,"{'Hispanic': 137, 'Black or African American': 22, 'White': 9, 'Vietnamese': 1, 'Unknown/Other': 1, '': 1}"
12,11375,filed,"{'Black or African American': 239, 'Hispanic': 64, 'White': 57, 'Chinese': 10, 'Filipino': 4, 'Pacific Islander': 3, 'Other Asian': 3, '': 2, 'Unknown/Other': 2, 'Korean': 1}"
13,11375,booked,"{'Black or African American': 210, 'Hispanic': 77, 'White': 56, 'Chinese': 7, '': 5, 'Unknown/Other': 4, 'Other Asian': 3, 'Filipino': 3, 'Pacific Islander': 2, 'Korean': 1, 'Middle Eastern': 1}"
14,11375,convicted,"{'Black or African American': 109, 'White': 29, 'Hispanic': 20, 'Chinese': 4, 'Pacific Islander': 2, 'Unknown/Other': 2, 'Filipino': 2, '': 1}"
15,11375,1385 PC - Guilty Plea to Other Charge,"{'Black or African American': 30, 'Hispanic': 7, 'White': 4, 'Korean': 1}"
16,11378,filed,"{'Hispanic': 956, 'White': 412, 'Black or African American': 365, 'Filipino': 37, 'Pacific Islander': 14, 'Chinese': 13, 'Other Asian': 13, 'Unknown/Other': 12, '': 7, 'Vietnamese': 6, 'Cambodian': 4, 'Korean': 3, 'Native American': 2, 'Indian': 1}"
17,11378,booked,"{'Hispanic': 1195, 'White': 493, 'Black or African American': 414, 'Filipino': 43, '': 31, 'Unknown/Other': 21, 'Pacific Islander': 15, 'Chinese': 14, 'Other Asian': 11, 'Vietnamese': 6, 'Native American': 5, 'Cambodian': 5, 'Korean': 4, 'Indian': 1, 'Laotian': 1}"
18,11378,convicted,"{'Hispanic': 304, 'White': 205, 'Black or African American': 190, 'Filipino': 20, 'Pacific Islander': 10, 'Chinese': 6, 'Unknown/Other': 5, 'Other Asian': 5, 'Korean': 3, 'Cambodian': 3, '': 1, 'Vietnamese': 1}"
19,11378,1385 PC - Guilty Plea to Other Charge,"{'Hispanic': 180, 'White': 48, 'Black or African American': 38, 'Filipino': 3, 'Pacific Islander': 1, 'Vietnamese': 1, '': 1, 'Other Asian': 1}"
20,11351|11351.5|11352|11375|11378,filed,"{'Hispanic': 1905, 'Black or African American': 900, 'White': 528, 'Filipino': 44, '': 43, 'Unknown/Other': 31, 'Chinese': 26, 'Pacific Islander': 22, 'Other Asian': 18, 'Vietnamese': 10, 'Cambodian': 6, 'Korean': 5, 'Native American': 3, 'Laotian': 2, 'Japanese': 1, 'Indian': 1}"
21,11351|11351.5|11352|11375|11378,booked,"{'Hispanic': 2360, 'Black or African American': 1024, 'White': 641, '': 105, 'Filipino': 52, 'Unknown/Other': 45, 'Chinese': 29, 'Pacific Islander': 23, 'Other Asian': 18, 'Vietnamese': 10, 'Cambodian': 7, 'Native American': 7, 'Korean': 6, 'Laotian': 3, 'Japanese': 1, 'Indian': 1, 'Middle Eastern': 1}"
22,11351|11351.5|11352|11375|11378,convicted,"{'Hispanic': 630, 'Black or African American': 458, 'White': 251, 'Filipino': 23, 'Pacific Islander': 14, 'Chinese': 13, 'Unknown/Other': 10, '': 7, 'Other Asian': 6, 'Korean': 4, 'Vietnamese': 3, 'Cambodian': 3, 'Laotian': 2, 'Japanese': 1, 'Native American': 1}"
23,11351|11351.5|11352|11375|11378,1385 PC - Guilty Plea to Other Charge,"{'Hispanic': 367, 'Black or African American': 89, 'White': 65, '': 4, 'Filipino': 3, 'Vietnamese': 2, 'Pacific Islander': 1, 'Unknown/Other': 1, 'Other Asian': 1, 'Korean': 1}"
